game_id,sport_key,home_team,away_team,bookmaker,outcome,american_odds,decimal_odds,implied_prob
a18ccf810509cdc9bba2a58bf6df99a4,icehockey_nhl,Toronto Maple Leafs,San Jose Sharks,bovada,Toronto Maple Leafs,-385,1.26,0.7936507936507936
a18ccf810509cdc9bba2a58bf6df99a4,icehockey_nhl,Toronto Maple Leafs,San Jose Sharks,lowvig,San Jose Sharks,315,4.15,0.24096385542168672
a18ccf810509cdc9bba2a58bf6df99a4,icehockey_nhl,Toronto Maple Leafs,San Jose Sharks,lowvig,Toronto Maple Leafs,-370,1.27,0.7874015748031495
a18ccf810509cdc9bba2a58bf6df99a4,icehockey_nhl,Toronto Maple Leafs,San Jose Sharks,betonlineag,San Jose Sharks,315,4.15,0.24096385542168672
a18ccf810509cdc9bba2a58bf6df99a4,icehockey_nhl,Toronto Maple Leafs,San Jose Sharks,betonlineag,Toronto Maple Leafs,-370,1.27,0.7874015748031495
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,betrivers,Chicago Blackhawks,190,2.9,0.3448275862068966
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,betrivers,Los Angeles Kings,-238,1.42,0.7042253521126761
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,fanduel,Chicago Blackhawks,190,2.9,0.3448275862068966
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,fanduel,Los Angeles Kings,-233,1.43,0.6993006993006994
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,draftkings,Chicago Blackhawks,200,3.0,0.3333333333333333
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,draftkings,Los Angeles Kings,-244,1.41,0.7092198581560284
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,mybookieag,Chicago Blackhawks,179,2.79,0.35842293906810035
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,mybookieag,Los Angeles Kings,-233,1.43,0.6993006993006994
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,lowvig,Chicago Blackhawks,199,2.99,0.33444816053511706
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,lowvig,Los Angeles Kings,-227,1.44,0.6944444444444444
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,betonlineag,Chicago Blackhawks,199,2.99,0.33444816053511706
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,betonlineag,Los Angeles Kings,-227,1.44,0.6944444444444444
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,betmgm,Chicago Blackhawks,200,3.0,0.3333333333333333
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,betmgm,Los Angeles Kings,-250,1.4,0.7142857142857143
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,betus,Chicago Blackhawks,190,2.9,0.3448275862068966
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,betus,Los Angeles Kings,-227,1.44,0.6944444444444444
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,bovada,Chicago Blackhawks,200,3.0,0.3333333333333333
526d6be08ef61cd2f66e5dcd063a0c96,icehockey_nhl,Chicago Blackhawks,Los Angeles Kings,bovada,Los Angeles Kings,-238,1.42,0.7042253521126761
